# June 27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Kompletní seznam změn
buildtoolbar_popup_mat_newhedgewall				Vysoké ale slabé živé ploty. Jsou spíše pro okrasu než pro vážnější zvýšení bezpečnosti.
buildtoolbar_popup_mat_solacofloor				Dodejte podlahám naší věznice hi-tech vzhled. Skvěle se hodí ke zdem Yutani.
buildtoolbar_popup_mat_gratefloor				Dodejte podlahám naší věznice hi-tech vzhled.
buildtoolbar_popup_mat_newcargofloor			Dodejte podlahám naší věznice zakázkový vzhled.
buildtoolbar_popup_mat_newironfloor				Dodejte podlahám naší věznice zakázkový vzhled.
buildtoolbar_popup_mat_newcheckeredfloor		Tyto budou pravděpodobně vypadat dobře ve vašich kuchyních a jídelnách.
buildtoolbar_popup_mat_snow						Je to jako voda, jen chladnější a hezčí.
buildtoolbar_popup_obj_snowyconifertree			Nejvíce se budou hodit na zasněžené zemi.
buildtoolbar_popup_obj_palmtree					Běžně raší v suché zemi, ale nyní se můžete rozhodnout je pěstovat, kdekoliv se vám zamane.
buildtoolbar_popup_obj_bush						Dodá venkovním oblastem trochu výzdoby.
buildtoolbar_popup_obj_streetlamp				K osvětlení silnic a cest.
buildtoolbar_popup_obj_floodlight				Vysoké venkovní světlo, které dokáže pokrýt velké oblasti, jako například dvůr.
buildtoolbar_popup_obj_bleachers				Klasické lavice na vězeňském dvoře pro skupiny vězňů, kde mohou sedět a přemýšlet, co dál.
buildtoolbar_popup_obj_smallbench				Na sezení.
buildtoolbar_popup_obj_smalltable				Na jezení u.
buildtoolbar_popup_obj_showerpillar				K umístění do středu sprchové místnosti a poté na každou stranu přidejte sprchovou hlavici.
buildtoolbar_popup_obj_doorMat					Laciná gumová rohožka, která by mohla vypadat dobře přede dveřmi.
buildtoolbar_popup_obj_guardPavilion			Umístěte na dvoře a v otevřených oblastech, aby strážní a ozbrojení strážní mohli dohlížet na vaše vězně.\n Přiřaďte strážné přes Nabídku rozmístění.\n -Zvyšuje úroveň poslušnosti v oblasti.\n -Strážní jsou chráněni před počasím.
buildtoolbar_popup_obj_guardPavilionCorner		Umístěte v rozích dvora a v otevřených oblastech, aby strážní a ozbrojení strážní mohli dohlížet na vaše vězně.\n Přiřaďte strážné přes Nabídku rozmístění.\n -Zvyšuje úroveň poslušnosti v oblasti.\n -Strážní jsou chráněni před počasím.
buildtoolbar_popup_obj_officeChair				Židle pro zaměstnance, aby seděli ve středu u psacího stolu.

buildtoolbar_popup_obj_visitorDoor				Dveře umožňující návštěvníkům věznice projít, aniž by jim strážní museli otevírat dveře. Strážní a zaměstnanci mohou rovněž projít dveřmi, avšak vězni ne.
buildtoolbar_popup_obj_ironingBoardShort		Kratší žehlicí prkno.
buildtoolbar_popup_obj_fencegatestaff			Brána, která vypadá skvěle s plotem a funguje stejně jako dveře.
buildtoolbar_popup_obj_fencegatestandard		Brána, která vypadá skvěle s plotem a funguje stejně jako dveře.
buildtoolbar_popup_obj_fencegatevisitor			Brána, která vypadá skvěle s plotem a funguje stejně jako dveře.
buildtoolbar_popup_obj_walllight				Světlo ve stylu bunkru k umístění na zdi.
buildtoolbar_popup_obj_securedoor				Dveře navržené pro samotky obsahující klapku na jídlo. Strážní donášející jídlo mohou prostrčit tác s jídlem skrze dveře, aniž by museli vstoupit do cely.


interfacedeployment_guards                      Přidělit strážné
buildtoolbar_deployment_Guards			Přidělit strážné do sektorů vaší věznice.
interfacedeployment_Dogs			Přidělit psovody
buildtoolbar_deployment_Dogs			Přidělit psovody do sektorů vaší věznice.
interfacedeployment_ArmedGuards			Přidělit ozbrojené strážné
buildtoolbar_deployment_ArmedGuards		Přidělit ozbrojené strážné do sektorů vaší věznice.
interfacedeployment_patrols                     Přidělit strážné
buildtoolbar_deployment_Patrols			Přidělit strážné k hlídkovým trasám vaší věznice.
interfacedeployment_dogpatrols                  Přidělit psovody
buildtoolbar_deployment_DogPatrols		Přidělit psovody k hlídkovým trasám vaší věznice.
interfacedeployment_armedpatrols                Přidělit ozbrojené strážné
buildtoolbar_deployment_ArmedPatrols		Přidělit ozbrojené strážné k hlídkovým trasám vaší věznice.

buildtoolbar_popup_help_Guards_1        Nástroj strážných vám umožní rozmístit strážné v zónách. Rozmístění strážní se budou pohybovat po svých přiřazených zónách náhodně a budou vykonávat jakékoli úkoly strážných v této oblasti, jako například otevírání dveří.\n\n
buildtoolbar_popup_help_Guards_2        ~Kliknutím levého tlačítka myši zvýšíš počet psovodů zařazených do zóny. Kliknutím pravého tlačítka myši odstraníš stráž.\n\n
buildtoolbar_popup_help_Guards_3        ^Tipy
buildtoolbar_popup_help_Guards_4        Pokud máš zpřístupněnou detailní zprávu, budeš mít přístup do plánovače rozmístění. To ti umožní vytvořit časový rozvrh, kdy budou strážím přiděleny určité oblasti. Například pokud chceš přidělit stráže pouze do jídelny během režimu jídla, můžeš kliknout na každý blok plánovače, který tě spojuje s režimem jídla, pak posunout časový posuvník do tohoto bloku a kliknout na jídelnu a přidělit stráže.
buildtoolbar_popup_help_Guards_5        Pro plánování máš až 7 různých časových bloků, navíc výchozí vždy aktivní režim, které ti umožňují vytvořit komplexní postupy rozmístění vyhovující potřebám vězení.
buildtoolbar_popup_help_Guards_6        Pokud při přidělování psovodů nezvolíš časový blok manuálně, plánovač použije aktuální čas; dej pozor, aby byl při změně rozmístění zvolený správný čas!

buildtoolbar_popup_help_Dogs_1        Nástroj psovodů vám umožní rozmístit psovody v zónách. Rozmístění strážní se budou pohybovat po svých přiřazených zónách náhodně a budou vykonávat jakékoli úkoly strážných v této oblasti, jako například otevírání dveří.\n\n
buildtoolbar_popup_help_Dogs_2        ~Kliknutím levého tlačítka myši zvýšíš počet psovodů zařazených do zóny. Kliknutím pravého tlačítka myši odstraníš psovoda.\n\n
buildtoolbar_popup_help_Dogs_3        ^Tipy
buildtoolbar_popup_help_Dogs_4        Pokud máš zpřístupněnou detailní zprávu, budeš mít přístup do plánovače rozmístění. To ti umožní vytvořit časový rozvrh, kdy budou psovodům přiděleny určité oblasti. Například pokud chceš přidělit psovody pouze do jídelny během režimu jídla, můžeš kliknout na každý blok plánovače, který tě spojuje s režimem jídla, pak posunout časový posuvník do tohoto bloku a kliknout na jídelnu a přidělit psovoda
buildtoolbar_popup_help_Dogs_5        Pro plánování máš až 7 různých časových bloků, navíc výchozí vždy aktivní režim, které ti umožňují vytvořit komplexní postupy rozmístění vyhovující potřebám vězení.
buildtoolbar_popup_help_Dogs_6        Pokud při přidělování psovodů nezvolíš časový blok manuálně, plánovač použije aktuální čas; dej pozor, aby byl při změně rozmístění zvolený správný čas!

buildtoolbar_popup_help_ArmedGuards_1        Nástroj ozbrojených stráží vám umožní rozmístit ozbrojené stráže v zónách. Rozmístění strážní se budou pohybovat po svých přiřazených zónách náhodně a budou vykonávat jakékoli úkoly strážných v této oblasti, jako například otevírání dveří.\n\n
buildtoolbar_popup_help_ArmedGuards_2        ~Kliknutím levého tlačítka myši zvýšíš počet strážných zařazených do zóny. Kliknutím pravého tlačítka myši odstraníš strážného.\n\n
buildtoolbar_popup_help_ArmedGuards_3        ^Tipy
buildtoolbar_popup_help_ArmedGuards_4        Pokud máš zpřístupněnou detailní zprávu, budeš mít přístup do plánovače rozmístění. To ti umožní vytvořit časový rozvrh, kdy budou ozbrojeným strážím přiděleny určité oblasti. Například pokud chceš přidělit ozbrojené stráže pouze do jídelny během režimu jídla, můžeš kliknout na každý blok plánovače, který tě spojuje s režimem jídla, pak posunout časový posuvník do tohoto bloku a kliknout na jídelnu a přidělit ozbrojené stráže.
buildtoolbar_popup_help_ArmedGuards_5        Pro plánování máš až 7 různých časových bloků, navíc výchozí vždy aktivní režim, které ti umožňují vytvořit komplexní postupy rozmístění vyhovující potřebám vězení.
buildtoolbar_popup_help_ArmedGuards_6        Pokud při přidělování ozbrojených stráží nezvolíš časový blok manuálně, plánovač použije aktuální čas; dej pozor, aby byl při změně rozmístění zvolený správný čas!

buildtoolbar_popup_help_Orderly_1		Zřízenci jsou speciálně vyškoleni k péči o duševně choré vězně. \n
buildtoolbar_popup_help_Orderly_2		Mají podobné vlastnosti jako dozorci a lékaři, ale nepůsobí na vězně tlumivě (jako běžní dozorci). \n\n
buildtoolbar_popup_help_Orderly_3		Najměte si zřízence, kteří se budou starat o vaše kriminálně vyšinuté vězně. Zřízenci budou:
buildtoolbar_popup_help_Orderly_4		-Pomáhají při přijímání trestně stíhaných vězňů.
buildtoolbar_popup_help_Orderly_5		-Vypravovat trestně stíhané chovance na psychiatrické konzultace (programy).
buildtoolbar_popup_help_Orderly_6		-Léčit zraněné trestně stíhané vězně.
buildtoolbar_popup_help_Orderly_7		-Zajistěte ošetření trestně stíhaných vězňů, kteří se stanou násilnými.
buildtoolbar_popup_help_Orderly_8		-Na noc nasadit psychopatickým kriminálně vyšinutým vězňům svěrací kazajku.

buildtoolbar_popup_help_Psychiatrist_1   		Psychiatři poskytují trestně stíhaným vězňům pravidelné individuální konzultace.\n\n
buildtoolbar_popup_help_Psychiatrist_2   		Každý z nich vyžaduje speciální psychiatrickou ordinaci.
buildtoolbar_popup_help_Psychiatrist_3		Pro psychiatry, kteří léčí trestně stíhané vězně, lze zřídit psychiatrické konzultace (programy).
buildtoolbar_popup_help_Psychiatrist_4		Psychiatrovy ordinace lze také vylepšit o nové předměty, aby se zlepšila léčba Psychiatra.

interfacedeployment_PrioritizeArea			Upřednostnit oblast (*X)
buildtoolbar_deployment_PrioritizeGuard			Použijte tuto možnost k upřednostnění přiřazených strážných k pokrytí určitých sektorů ve vaší věznici. Pokud nemáte dostatek zaměstnanců, strážní se pokusí nejprve pokrýt vaše upřednostněné oblasti. Dostupné jsou dvě priority; "Vysoká" (>>) a "Velice vysoká" (>>>).

interfacedeployment_BluePatrol				Modrá hlídka
buildtoolbar_deployment_BluePatrol			Barevné hlídkové trasy vám umožňují je překrývat a přidělovat k nim jednotlivé strážné. Kliknutím a přetažením kurzoru vytvoříte modrou hlídkovou trasu. Pravým kliknutím a přetažením kurzoru smažete modrou hlídkovou trasu. Použijte tlačítko k přiřazení strážných, čímž strážné přiřadíte k hlídkové trase.

interfacedeployment_MagentaPatrol			Fialová hlídka
buildtoolbar_deployment_MagentaPatrol			Barevné hlídkové trasy vám umožňují je překrývat a přidělovat k nim jednotlivé strážné. Kliknutím a přetažením kurzoru vytvoříte fialovou hlídkovou trasu. Pravým kliknutím a přetažením kurzoru smažete fialovou hlídkovou trasu. Použijte tlačítko k přiřazení strážných, čímž strážné přiřadíte k hlídkové trase.

interfacedeployment_PrioritizePatrol			Upřednostnit hlídku
buildtoolbar_deployment_PrioritizePatrol		Použijte tuto možnost k upřednostnění přiřazených strážných k pokrytí určitých hlídek ve vaší věznici. Pokud nemáte dostatek zaměstnanců, strážní se pokusí nejprve pokrýt vaše upřednostněné hlídkové trasy. Dostupné jsou dvě priority; "Vysoká" (>>) a "Velice vysoká" (>>>).

buildtoolbar_popup_filter_title                 Seznam filtrů
buiildtoolbar_popup_filter_toggle               Stiskněte tlačítko k přepínání
buildtoolbar_popup_filter_default               Výchozí
buildtoolbar_popup_filter_az                    A-Z
buildtoolbar_popup_filter_owned                 Vlastněno
buildtoolbar_popup_filter_costhighlow           Náklady (Vysoké - Nízké)
buildtoolbar_popup_filter_costlowhigh           Náklady (Nízké - Vysoké)
buildtoolbar_popup_filter_indooroutdoor         Uvnitř-Venku
buildtoolbar_popup_filter_outdoorindoor         Venku-Uvnitř
buildtoolbar_popup_filter_quantity               Vlastněné množství
buildtoolbar_popup_filter_byroom                Podle místnosti

# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							DVAKRÁT KLIKNOUT: Posuňte objekt

double_click_add_door							Dvakrát klikněte levým tlačítkem k přidání dveří.

codex_option_bureaucracyresearched				Správa věznice vyzkoumána
codex_tooltip_bureaucracyresearched				Zahajte novou hru, ve které bude celá Správa věznice plně vyzkoumána.

codex_option_jungle						Džungle
codex_tooltip_jungle						Vytvořte počáteční pozemek, připomínající hustou džungli.

codex_option_snowy						Zasněžený pozemek
codex_tooltip_snowy						Vytvořte počáteční pozemek, který je pokryt sněhem.

codex_option_default						Výchozí
codex_option_plotType						Typ pozemku
codex_tooltip_plotType						Toto vám umožní vygenerovat konkrétní výchozí plochu. Výchozí bude mít hlínu a trávu, Džungle připomíná hustou džungli, Zasněžený bude pokrytý sněhem, Poušť bude písečná poušť, Měsíční se podobá měsíčnímu povrchu, Ostrov bude obklopen vodou, místo silnice bude používat lodní přístaviště a Připojený ostrov bude obklopen vodou s mostem spojeným se silnicí.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								Mytí


plant_tree_location								Zasaďte strom v *X

report_intake_cat_SuperMax							SuperMax

interface_undo							vrátit

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               Uložení věznice se nezdařilo.
codex_changelog_next                            Další >
codex_changelog_prev                            < Předchozí
codex_credits                                   Titulky

codex_options_screenshotmode					Mód screenshotu
codex_tooltip_screenshotmode					Když jste v Módu Screenshotu, podržte KLÁVESU [*K] a stiskněte [*E] k vypnutí/zapnutí ALL UI a HUD.
codex_sso_content_message						Úspěšně jste se přihlásili do účtu Paradox .\n\nJako poděkování jsou ve hře odemčeny nové pavilony strážních věží! Naleznete je v Nabídce objektů.
codex_options_borderless_windowed               Bez okrajů
codex_options_monitor                           Monitor

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							Zeď (art deco)
material_blueWall								Nóbl zeď (modré pruhy)
material_burgundyWall							Nóbl zeď (vínově červená)
material_greenWall								Nóbl zeď (zelená)
material_orientalWall							Zeď (orientální)
material_cushionedwall							Zeď (polstrovaná)

material_sandstone								Pískovec 
material_limestonefloor							Vápenec 
material_blueCarpet								Koberec (modrý)
material_redCarpet								Koberec (červený)
material_brownCarpet							Koberec (hnědý)
material_paddedfloor							Polstrovaná
material_grassstones							Tráva a kamení
material_grasscornerfloor						Travnatý roh
material_grasscornerfloor1						Travnatý roh
material_grasscornerfloor2						Travnatý roh
material_grasscornerfloor3						Travnatý roh
material_lunarfloor								Měsíční


# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								Strom (strašidelný)
object_cactustree								Strom (kaktus)
object_sakuratree								Strom (sakura)
object_plantcactus								Rostlina (kaktus)
object_tyrestack								Hromada pneumatik
object_lamp										Světlo (lampa)
object_bathroomSink								Umyvadlo
object_bathroomHandDryer						Vysoušeč rukou
object_chestOfDrawers							Zásuvky
object_woodenStool								Dřevěná židle
object_woodenTable								Dřevěný stůl			
object_bucket									Kýbl
object_shortbookcase							Knihovnička (krátká)
object_outdoorTable								Venkovní stůl
object_mooseHead								Losí hlava
object_toiletSign								Cedulka (toalety)
object_rightArrowSign							Cedulka (šipka vpravo)
object_leftArrowSign							Cedulka (šipka vlevo)
object_infirmarySign							Cedulka (ošetřovna)
object_canteenSign								Cedulka (jídelna)
object_showerSign								Cedulka (sprchy)
object_armourySign								Cedulka (zbrojnice)
object_jaildoorred								Vězeňské dveře (červené)
object_jaildoorgrey								Vězeňské dveře (šedé)
object_jaildoororange							Vězeňské dveře (oranžové)
object_jaildoorYellow							Vězeňské dveře (žluté)
object_jaildoorlargered							Velké vězeňské dveře (červené)
object_jaildoorlargegrey						Velké vězeňské dveře (šedé)
object_jaildoorlargeorange						Velké vězeňské dveře (oranžové)
object_jaildoorlargeyellow						Velké vězeňské dveře (žluté)
object_coatstand								Věšák na kabáty
object_dogbowl									Psí miska
object_footbridge                               Lávka pro pěší
object_footbridgesteel                          Ocelová lávka pro pěší
object_footbridgeb                              Lávka pro pěší B
object_footbridgesteelb                         Ocelová lávka pro pěší B
object_windowclassy								Nóbl okno
object_windowclassyLarge						Nóbl okno (velké)
object_gravestone								Náhrobní kámen
object_psychiatrist								Psychiatr
object_orderly									Zřízenec
object_rorschachTest							Rorschachův test
object_anatomyModel								Anatomický model
object_flipboard								Papírová tabule
object_medicineCabinetPsych						Skříň s léky
object_leatherchair								Kožené křeslo
object_leatherSofa								Kožená pohovka
object_parkbench								Lavice (park)
object_fencegateguard							Brána v plotu (strážní)
object_oaktable									Stůl (dub)
object_oakbench									Lavice (dub)

object_classic									Klasické
object_dalmation								Dalmatin
object_husky									Husky
object_companion								Společník
object_cat										Kočka
object_direwoof									Zlohaf

equipment_fountainPen							Plnicí pero
equipment_goldPocketWatch						Zlaté hodinky
equipment_sedativeShot							Dávka sedativ (injekce)
equipment_sedativesyringe						Sedativa (injekce)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				Postav zdi ve stylu art deco a dodej vězení architektonický vzhled 20. let 20. století.
buildtoolbar_popup_mat_blueWall					Postav klasické zdi na základech a vytvoř nové oblasti či místnosti pro zaměstnance.
buildtoolbar_popup_mat_burgundywall				Postav klasické zdi na základech a vytvoř nové oblasti či místnosti pro zaměstnance.
buildtoolbar_popup_mat_greenwall				Postav klasické zdi na základech a vytvoř nové oblasti či místnosti pro zaměstnance.
buildtoolbar_popup_mat_orientalwall				Postav orientální zdi a vytvoř ve vězení oblasti nádechem starého Japonska.
buildtoolbar_popup_mat_cushionedwall			Postav sekce zdí na základech a vytvoř nové oblasti či místnosti, které vypadají zdravě a koženě.
buildtoolbar_popup_mat_sandstone				Vydláždi venkovní oblasti pískovcovými deskami.
buildtoolbar_popup_mat_limestonefloor			Podlaha má zašlou limetkovou barvu.
buildtoolbar_popup_mat_blueCarpet				Polož pohodlný koberec. Skvělý do oblastí pro zaměstnance.
buildtoolbar_popup_mat_redCarpet				Polož pohodlný koberec. Skvělý do oblastí pro zaměstnance.
buildtoolbar_popup_mat_brownCarpet				Polož pohodlný koberec. Skvělý do oblastí pro zaměstnance.
buildtoolbar_popup_mat_paddedfloor				Hodí se k polstrovaným zdím a vytváří dokonalou polstrovanou celu pro choromyslné vězně.
buildtoolbar_popup_mat_grassstones				Travnatá oblast s dlaždicemi.
buildtoolbar_popup_mat_grassscornerfloor		Travnatý roh s hlínou. Hodí se pro křivé cestičky.
buildtoolbar_popup_mat_grasscornerfloor1		Travnatý roh s hlínou. Hodí se pro křivé cestičky.
buildtoolbar_popup_mat_grasscornerfloor2		Travnatý roh s hlínou. Hodí se pro křivé cestičky.
buildtoolbar_popup_mat_grasscornerfloor3		Travnatý roh s hlínou. Hodí se pro křivé cestičky.
buildtoolbar_popup_mat_lunarfloor				Tvrdý kamenný povrch s mezihvězdným vzezřením.
buildtoolbar_popup_mat_WoodenDockFloor			Masivní dřevěná podlaha, ideální pro přístavní dvůr.
buildtoolbar_popup_obj_spookytree				Strašidelný starý strom.
buildtoolbar_popup_obj_cactustree				Nejlépe by se vyjímal na suché zemi.
buildtoolbar_popup_obj_sakuratree				Nádherná třešeň s růžovými květy.
buildtoolbar_popup_obj_plant					Hezká pokojová rostlina.
buildtoolbar_popup_obj_plantcactus				Vnitřní kaktus v květináči.
buildtoolbar_popup_obj_tyrestack				Funguje jako malá zeď, kterou budou vězni a zaměstnanci obcházet.
buildtoolbar_popup_obj_lamp						Stojící zdobná lampa, dokonalá pro kanceláře a oblasti pro zaměstnance.
buildtoolbar_popup_obj_bathroomSink				Bez něj by žádná umývárna nebyla kompletní.
buildtoolbar_popup_obj_bathroomHandDryer		Skvěle se hodí k umyvadlu.
buildtoolbar_popup_obj_chestOfDrawers			Dřevěné zásuvky.
buildtoolbar_popup_obj_woodenStool				Skvěle by se hodila ke dřevěnému stolu.
buildtoolbar_popup_obj_woodenTable				Skvěle by se hodil ke dřevěné židli.	
buildtoolbar_popup_obj_bucket					Prostě kýbl.
buildtoolbar_popup_obj_shortbookcase			Kratší polička na knihy.
buildtoolbar_popup_obj_outdoorTable				Vězni u něj můžou venku sedět a jíst.
buildtoolbar_popup_obj_mooseHead				Krásná losí hlava s ručním finišem na plaketě.
buildtoolbar_popup_obj_toiletSign				Cedulka na zeď se symbolem toalet.
buildtoolbar_popup_obj_rightArrowSign			Cedulka na zeď se šipkou ukazující vpravo.
buildtoolbar_popup_obj_leftArrowSign			Cedulka na zeď se šipkou ukazující vlevo.
buildtoolbar_popup_obj_infirmarySign			Cedulka na zeď se symbolem ošetřovny.
buildtoolbar_popup_obj_canteenSign				Cedulka na zeď se symbolem jídelny.
buildtoolbar_popup_obj_showerSign				Cedulka na zeď se symbolem sprch.
buildtoolbar_popup_obj_armourySign				Cedulka na zeď se symbolem zbrojnice.
buildtoolbar_popup_obj_jaildoorred				Barevné vězeňské dveře, které ti pomohou označit bloky s maximální ostrahou.
buildtoolbar_popup_obj_jaildoorgrey				Barevné vězeňské dveře, které ti pomohou označit bloky s nízkou ostrahou.
buildtoolbar_popup_obj_jaildoororange			Barevné vězeňské dveře, které ti pomohou označit bloky se střední ostrahou.
buildtoolbar_popup_obj_jaildooryellow			Barevné vězeňské dveře, které ti pomohou označit bloky ochranné vazby.
buildtoolbar_popup_obj_jaildoorlargered			Velké barevné vězeňské dveře, které ti pomohou označit bloky s maximální ostrahou.
buildtoolbar_popup_obj_jaildoorlargegrey		Velké barevné vězeňské dveře, které ti pomohou označit bloky s nízkou ostrahou.
buildtoolbar_popup_obj_jaildoorlargeorange		Velké barevné vězeňské dveře, které ti pomohou označit bloky se střední ostrahou.
buildtoolbar_popup_obj_jaildoorlargeYellow		Velké barevné vězeňské dveře, které ti pomohou označit bloky ochranné vazby.
buildtoolbar_popup_obj_coatstand				Místo, na které si zaměstnanci mohou odkládat kabáty a klobouky.
buildtoolbar_popup_obj_dogbowl					Obsahuje vodu a žrádlo pro unavené služební psy.\nMírně zvyšuje výdrž psa.
buildtoolbar_popup_obj_secretdoor				Tajné dveře maskované jako knihovna, které se otevírají pro zaměstnance.
buildtoolbar_popup_obj_parkbench				Venkovní parková lavička.
buildtoolbar_popup_obj_fencegateguard			Brána, která se skvěle hodí k plotům a kterou mohou otevřít jen stráže.
buildtoolbar_popup_obj_oaktable					Jí se u něj.
buildtoolbar_popup_obj_oakbench					Sedí se na ní. Skvěle se hodí k dubovému stolu.

buildtoolbar_popup_obj_classic					Původní služební pes. Starý, ale zkušený.
buildtoolbar_popup_obj_dalmation				Původně žil na farmě, ale nyní zabraňuje útěkům.
buildtoolbar_popup_obj_husky					Smrtící past pro každého uprchlého vězně, který poběží přes sníh.
buildtoolbar_popup_obj_companion				Nejlepší přítel dozorce.
buildtoolbar_popup_obj_cat						Ne každý má rád psy.
buildtoolbar_popup_obj_direwoof					Kdo by se vůbec pokoušel utíkat?

buildtoolbar_popup_filter_mostused				Nejpoužívanější
buildtoolbar_caters_safety						Stará se o potřebu bezpečí.

interfacedeployment_orderly						Přiřadit zřízence
buildtoolbar_deployment_orderly					Přiděluj zřízencům jednotlivé sektory ve věznici.

interfacedeployment_orderlypatrols				Přiřadit zřízence
